comment ,pick,state
"Doesn't the targeted approach require massive testing? Yes, it does. And we're not there yet. Until we are this advice seems premature.",NYT Picks,Utah
"I?m at a loss. I made it through 9/11, Super Storm Sandy and the Great Recession. Under Obama, I recovered. Trump?s tax laws brought my profession down again. Working 3 jobs now, an employer who promised to stick with us, sent this today on Sunday afternoon. ?I hope that you and your family are staying healthy and safe during this unprecedented time. Given the current circumstances due to COVID-19, I?m going to have to suspend all my business activities indefinitely, including all employment. I sincerely hope, as I?m sure everyone does, that this terrible situation is over quickly and we can resume our work.? If you?re a business owner, have enough compassion to make a phone call....on a Monday.",NYT Picks,NY
"I'm 76 years old. How incredibly selfish it would be to wish for a nationwide shut down for the next 6 months to increase my chances of living. My life, at this age, means nothing compared with the tragic economic suffering of millions of my fellow Americans.",NYT Picks,NC
"I have zero faith that anyone even remotely attached to the Trump administration has even the faintest idea of what to do. We're well past the initial, highly important, testing phase that could have lessened the impact of this crisis because of Trump's ineptitude and ignorance. This health threat isn't going away in two weeks and it's just wishful thinking that we as a country will be back on track anytime soon. Closing down the economy for a month, sheltering in place for a month, and testing huge swaths of the urban population is not overreaction, it just makes sense. In the best case scenario only thousands will die, in the worst case hundreds of thousands, perhaps more, will die. The cost to the economy is whatever it will take to beat this.",NYT Picks,SC 
"The Katz/ vertical plan has a serious flaw: Many American households are multi-generational (especially lower income ones and minorities) with seniors living under the same roof, or have family members with underlying medical issus that make them vulnerable. What happens after two weeks when mom and dad, along with the kids, are symptom free and return to work and school but grandmother or a family member on chemotherapy still are at home? What happens to this populartion?",NYT Picks,Utah
"No need to alter the approach except to protect known at risk individuals. Americans are incapable of following a directive, especially if it is mostly to benefit someone else. The bulk of the American people have voted selfishly for 40 years and they will act selfishly now. The best you can do is lockdown and then let what happens happen. It will pass fairly fast because Americans will continue to spread it fast. It will also kill a lot of people, but that is the American way, rugged and careless individuals that they are. Just kidding about the rugged part. No way you don't have 6-18 months of dire case loads and economic issues. The economy is not coming back anyway, because it was always fake and built on baby-brained consumers.",NYT Picks,PA
"The best hope for rescuing our economy is through testing. Yes, we need to be manufacturing masks and ventilators, mobilizing health care teams toward a surge in intensive care needs and preparing new beds in make-shift hospitals, but even more importantly we should have all hands on deck to ramp up our ability to test - now. When we can test almost anyone for active infection, and then when we can test health care workers and others at risk for immunity (much later, if ever), then we can start to isolate intelligently. Only then can we move away from the blind indiscriminate quarantine we have now. Later, when we identify some antivirals, or other meds that might rescue the infected from the most severe illness, and then even later when we have a vaccine, life will return to normal. But the best way to move society back to a more normal economic footing is to test, test, test.",NYT Picks,CA
"This is brilliant and important, but also obvious, and it?s shocking to see so-called leaders taking such a blunt and overkill approach currently, with no clear plan, which will do so much more harm to society than the virus over time. True leaders make difficult and sometimes unpopular decisions for the overall good, which of course is challenging in this environment, but is rarely more important than it is now ? to accept that some people will (unavoidably and unfortunately) die but those with a high chance of survival should be able to return to work after two weeks and support the system and others (assuming that proper testing and tracking are available) for the long term benefit of society. It?s frustrating that this debate hasn?t received more attention but I agree it is desperately and urgently needed.",NYT Picks,NY
"Once this virus is contained, let us pressure our elected officials to pass a Green New Deal. That would put a lot of people back to work in good-paying jobs and address this climate crisis: installing solar panel, wind turbines and green roofs, insulating buildings, expanding mass transit, building bike trails, planting trees and growing food with restorative agriculture. Let this coronavirus crisis awaken more to that other great existential threat called climate change, which if unaddressed with the urgency it requires will devastate us even more.",NYT Picks,US
"A society that cared about all of its members equally would ensure that those who are forced to stay home and lose their incomes/jobs are compensated for their bearing the brunt of protecting all of the rest of us. It is a flaw in our dog-eat-dog capitalism model that we are willing to tolerate so much suffering (and such negative health outcomes) for those who lose their jobs. This should be a wakeup call for us as a society: those whose jobs are displaced by superior technology, whether coal miners, auto manufacturers, truck drivers, or data analysts have similarly done us all a service by continuing to do work that needs to be done up until such time as it obsolesces. Unemployment (for whatever reason) should not mean that one's children starve or lack for opportunity.",NYT Picks,NY
"I like the general theme proposed, but like many others, question it's feasibility, given the present shortages of key equipment: testing, ventilators, masks, testing, etc. Which doesn't take away from the validity of the proposal, that it's very worth considering, but that perhaps we must wait another week or two (or more) until it can be put in effect.",NYT Picks,WI 
"As a nation, we have blindly walked into wet cement by insisting upon maintaining a system in which many have no heath insurance, many others are covered only as long as they stay employed, and tens of millions of working Americans live only a few dollars from bankruptcy. Like catching a disease, these disasters come about through little or no fault of the victims; they are the inevitable consequences of the system we have built. It?s a catastrophe of our own making, mainly because we have been indoctrinated into having a greater fear of the mythical dangers of Socialism (falsely sold as a synonym for Communist Stalinism) than of the real life consequences of winner-take-all capitalism. No amount of social planning can completely protect us from catching something virulent, but as it stands we have made one of life?s risks much worse than it needs to be. Once the pandemic passes, and before the next one sweeps the globe, perhaps it is time for the survivors to grow up.",NYT Picks,
"At a time when hospitals are desperate for basic supplies like masks, gowns, and swabs - not to mention ventilators - to treat those who already are seriously ill or dying, your suggestion that we ""let many of us get the coronavirus"" sounds like a prescription for ""dying in place."" Yes, a targeted approach to mitigating the spread of COVID-19 would be desirable in an ideal world. But we do not - at least not now - enjoy that luxury. We might have had better options weeks back, had our leaders not sat on their hands. Instead of calling for swift action, they called their stock brokers. Relaxing the practice of social distance will surely overwhelm an already dismal situation in our health care system.",NYT Picks,Missouri
"Talk about pie in the sky. As stated, the opportunity for a more targeted approach has already passed, thanks largely to the federal government's failure to sound the alarm sooner. The idea that we can quickly figure out why some young people sicken and die from Covid-19 is another nonstarter. It's a new virus and we won't have answers to questions like that for months or more. Having people continue to work in hotels, restaurants, etc. is not going to accomplish anything. People are scared and demand for most things, including hospitality and dining, has collapsed. Workers need customers to service. Without customers, employers can't pay to keep workers on the job. That's economics 101. Meanwhile the virus will spread further while people are at work with no customers (or not enough of them) coming through the door. The only solution, given the failure to respond earlier, is to shut down the country and print money for a couple of months, or even longer if necessary. Not a good solution, but the only one now available. Trying now what might have been workable two months ago is a recipe for disaster.",NYT Picks,VT
"My wife is a nurse in San Francisco- can't even get a straight answer about how many N95 masks are available. Different hospitals have different ideas if its even airborn or not.... How are you going to organize the whole country to ""follow the rules"" and get back to work. When the most vulnerable first responders aren't even being properly protected?",NYT Picks,CA
"Set aside whether you agree or disagree with the plan espoused in this column. We can agree that it is complex and requires leadership and intelligence. Now remember who is president of the US and ask yourself if he and his team are capable of leadership and intelligence. Having read a lot of these ""contrarian"" takes on the crisis over the past week, my conclusion is that the first thing the contrarians such as Friedman need to do is to call for Donald Trump to resign. There's absolutely no possibility of achieving Friedman's ""smart"" virus plan while Trump is in charge. As long as they don't call for his resignation, and as long as he doesn't resign, we're stuck with the state by state shutdown strategy.",NYT Picks,CA
