Expedia,Booking.com
"Deluxe Room, 1 King Bed",Deluxe King Room
"Standard Room, 1 King Bed, Accessible",Standard King Roll-in Shower Accessible
"Grand Corner King Room, 1 King Bed",Grand Corner King Room
"Suite, 1 King Bed (Parlor)",King Parlor Suite
"High-Floor Premium Room, 1 King Bed",High-Floor Premium King Room
"Traditional Double Room, 2 Double Beds",Double Room with Two Double Beds
"Room, 1 King Bed, Accessible",King Room - Disability Access
"Deluxe Room, 1 King Bed",Deluxe King Room
Deluxe Room,Deluxe Room (Non Refundable)
"Room, 2 Double Beds (19th to 25th Floors)",Two Double Beds - Location Room (19th to 25th Floors)
"Room, 1 King Bed (19th to 25 Floors)",King Bed - Location Room (19th to 25th Floors)
Deluxe Room,Deluxe Double Room
"Junior Suite, 1 King Bed with Sofa Bed",Junior Suite
"Signature Room, 2 Queen Beds",Signature Two Queen
"Signature Room, 1 King Bed",Signature One King
"Premium Room, 2 Queen Beds",Premium Two Queen
"Studio, 1 King Bed with Sofa bed, Corner",Corner King Studio
"Club Room, 2 Queen Beds",Club Two Queen
"Club Room, 1 King Bed",Club One King
"Club Room, Premium 2 Queen Beds",Club Premium Two Queen
"Suite, 1 Bedroom",One Bedroom Suite
"Deluxe Room, City View",Deluxe King Or Queen Room
"Deluxe Room, Lake View",Deluxe King Or Queen Room with Lake View
"Club Room, City View (Club Lounge Access for 2 guests)",Club Level King Or Queen Room with City View
"Club Room, Lake View (Club Lounge Access for 2 guests)",Club Level King Or Queen Room with Water View
"Deluxe Room, 1 King Bed",Deluxe Room - One King Bed
"Deluxe Room, 2 Queen Beds",Deluxe Room - Two Queen Beds
"Premier Room, 1 King Bed (Royal Club)",Royal Club Premier Room - One King Bed
"Room, 2 Double Beds, Non Smoking",Double Room with Two Double Beds
"Room, 1 King Bed, Non Smoking (LEISURE)",King Room
"Executive Room, 1 King Bed, Non Smoking",Executive King Room
"Suite, 1 King Bed, Non Smoking",King Suite
"Room, 1 Queen Bed, Non Smoking (Fairmont Room)",Queen Room
"Luxury Room, 1 Queen Bed, Non Smoking",Luxury Queen
"Luxury Room, 1 King Bed, Non Smoking",Luxury King
"Luxury Room, 2 Double Beds, Non Smoking",Luxury Double Room
"Deluxe Room, 1 King Bed, Non Smoking",Deluxe King Room
"Signature Room, 2 Double Beds, Non Smoking",Signature Double
"Signature Room, 1 King Bed, Non Smoking",Signature King
"Fairmont Gold, Suite, 1 King Bed, Non Smoking",Gold King Suite
